,Name of Startup,Link
223,AFFLUX SYSTEMS PRIVATE LIMITED,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f17007e4b020b2f88a8aeb.html
224,eMoboMo Soft Pvt Ltd,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f16eefe4b020b2f88a8a4c.html
225,Golden Diamond Entertainments ,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f15dc1e4b020b2f88a7fd9.html
226,Ionage Technologies,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f15c5ae4b020b2f88a7ed9.html
227,Videoline Surveillance Services Private Limited,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f15b68e4b020b2f88a7e30.html
228,HIND WALE,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f155e1e4b020b2f88a7a4f.html
229,CHEMEX GLOBAL,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f15569e4b020b2f88a79de.html
230,Venkatesh Babu D,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f1538be4b020b2f88a78de.html
231,HOPEHELPINGINEVERYSTEP PRIVATE LIMITED,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f15294e4b020b2f88a7839.html
232,SHREE GAJAJNAND ENTERPRISES,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f15063e4b020b2f88a76e1.html
233,Trivarga Technologies Private Limited,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f15040e4b020b2f88a76c9.html
234,Stir Et Up,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f14f20e4b020b2f88a763f.html
235,Memories,https://www.startupindia.gov.in/content/sih/en/profile.Startup.5d9acf2de4b05eaf4e0d94a6.html
236,GEMOCRACY JEWELS OPC PRIVATE LIMITED,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f14b32e4b020b2f88a742b.html
237,Desi Earth Private Limited,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f148fee4b020b2f88a72fe.html
238,7 Eagles,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f145d8e4b020b2f88a715b.html
239,BESTWAY TRADING COMPANY,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f1447ce4b020b2f88a707c.html
240,SkillUp Education Services Pvt Ltd,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f141b4e4b020b2f88a6e99.html
241,MESTHIRII VKS PVT LTD,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f14106e4b020b2f88a6e33.html
242,Socio-Money ,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f14047e4b020b2f88a6dc7.html
243,KASIM SPORTS,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f1400ae4b020b2f88a6d8b.html
244,Softikk,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f13eaae4b020b2f88a6cd6.html
245,AFIFA CARE PRIVATE LIMITED,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f13a73e4b020b2f88a6ac4.html
246,JoinRE,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f13963e4b020b2f88a6a51.html
247,Infinito Media India Private Limited,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f1392be4b020b2f88a6a3d.html
248,Niva Natural Homeo LLP,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f13788e4b020b2f88a692a.html
249,Doosra College,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f13788e4b020b2f88a6927.html
250,DISHA ENTERPRISE,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f1374ae4b020b2f88a690d.html
251,Need Worker India opc Private Limited,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f13572e4b020b2f88a683f.html
252,Sudarshan Kumar Raut,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f1b368e4b020b2f88aa617.html
253,OffSpace Inc,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f1902ae4b020b2f88a9add.html
254,Fishtank,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f18f5be4b020b2f88a9a59.html
255,GREEN GLOBE INTERNATIONAL,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f1858ae4b020b2f88a95d4.html
256,A K Dianthus,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f18486e4b020b2f88a9547.html
257,RSN LEISURE TECHNO LLP,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f181ffe4b020b2f88a93df.html
258,WEDOCLEVERONE PRIVATE LIMITED,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f181eee4b020b2f88a93d4.html
259,Ravi Ranjan Chaubey,https://www.startupindia.gov.in/content/sih/en/profile.Startup.5d821b93e4b0fad8ed6d260d.html
260,CARTOS INDIA,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f1801ee4b020b2f88a928c.html
261,Golden Diamond Entertainments ,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f15dc1e4b020b2f88a7fd9.html
262,Ionage Technologies,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f15c5ae4b020b2f88a7ed9.html
263,Videoline Surveillance Services Private Limited,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f15b68e4b020b2f88a7e30.html
264,HIND WALE,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f155e1e4b020b2f88a7a4f.html
265,CHEMEX GLOBAL,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f15569e4b020b2f88a79de.html
266,Venkatesh Babu D,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f1538be4b020b2f88a78de.html
267,HOPEHELPINGINEVERYSTEP PRIVATE LIMITED,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f15294e4b020b2f88a7839.html
268,SHREE GAJAJNAND ENTERPRISES,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f15063e4b020b2f88a76e1.html
269,Trivarga Technologies Private Limited,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f15040e4b020b2f88a76c9.html
270,Shield Currency,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f17476e4b020b2f88a8cfb.html
271,Ecusbe India 3R Waste Private Limited,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f1730de4b020b2f88a8c3b.html
272,SUNSHINE ENTERPRISES,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f172b5e4b020b2f88a8c0c.html
273,YELLOW SPHERE PRIVATE LIMITED,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f17214e4b020b2f88a8bc9.html
274,POLLUXENERGYSOLUTIONS,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f17146e4b020b2f88a8b5d.html
275,Sephora Info Solutions Pvt Ltd,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f17142e4b020b2f88a8b59.html
276,Sarja Technologies Private Limited,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f17107e4b020b2f88a8b47.html
277,AFFLUX SYSTEMS PRIVATE LIMITED,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f17007e4b020b2f88a8aeb.html
278,eMoboMo Soft Pvt Ltd,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f16eefe4b020b2f88a8a4c.html
279,HD LABS PRIVATE LIMITED,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f179e7e4b020b2f88a8f2a.html
280,Bhumika Rathore,https://www.startupindia.gov.in/content/sih/en/profile.Startup.60636cade4b03f92cbd17ef4.html
281,Naukridhanda,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f1796be4b020b2f88a8eeb.html
282,Manjeet Bargoti,https://www.startupindia.gov.in/content/sih/en/profile.Startup.5b026d10e4b0a9285b5b096e.html
283,Callmyastro,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f177fbe4b020b2f88a8e51.html
284,MEENA KHAN,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f16a8fe4b020b2f88a875d.html
285,C4Cred,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f17551e4b020b2f88a8d52.html
286,J K C Enterprises,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f17550e4b020b2f88a8d4f.html
287,PROJECT X,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f17542e4b020b2f88a8d43.html
288,NV Media,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f16d53e4b020b2f88a892a.html
289,Sarglobal,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f16ca9e4b020b2f88a88b5.html
290,Bloomlync Technology Private Limited,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f16c64e4b020b2f88a8873.html
291,Ayush Entrprises,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f169c0e4b020b2f88a86ce.html
292,ETHOS,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f167f1e4b020b2f88a85ad.html
293,SpatioWorld Technologies Private Limited,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f16143e4b020b2f88a81be.html
294,Campus Share,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f16020e4b020b2f88a8120.html
295,Unive Media Private Limited,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f15f2ee4b020b2f88a8072.html
296,SYNCURE PHARMACEUTICALS,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f15f17e4b020b2f88a8060.html
297,Rishabh maheshwari,https://www.startupindia.gov.in/content/sih/en/profile.Startup.5b2115c1e4b04f0864e32e46.html
298,LEADS Venture'Lab,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f1345ee4b020b2f88a6795.html
299,SVSLER ENGINEERING RESEARCH AND TECHNOLOGIES PRIVATE LIMITED,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f13373e4b020b2f88a673c.html
300,Mehak Kapoor,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61c71716e4b041b4edd51ba1.html
301,ACEPACE PRIVATE LIMITED,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f12fdae4b020b2f88a6522.html
302,SHRI SHYAMJI ENTERPRISES,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f12e2de4b020b2f88a642b.html
303,InArtiGence.ai,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f12c41e4b020b2f88a62d0.html
304,GarageNations.com,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f12ae6e4b020b2f88a621d.html
305,Trends-Netra,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f12a58e4b020b2f88a61dc.html
306,Stir Et Up,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f14f20e4b020b2f88a763f.html
307,Memories,https://www.startupindia.gov.in/content/sih/en/profile.Startup.5d9acf2de4b05eaf4e0d94a6.html
308,GEMOCRACY JEWELS OPC PRIVATE LIMITED,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f14b32e4b020b2f88a742b.html
309,Desi Earth Private Limited,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f148fee4b020b2f88a72fe.html
310,7 Eagles,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f145d8e4b020b2f88a715b.html
311,BESTWAY TRADING COMPANY,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f1447ce4b020b2f88a707c.html
312,SkillUp Education Services Pvt Ltd,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f141b4e4b020b2f88a6e99.html
313,MESTHIRII VKS PVT LTD,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f14106e4b020b2f88a6e33.html
314,Socio-Money ,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f14047e4b020b2f88a6dc7.html
315,KASIM SPORTS,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f1400ae4b020b2f88a6d8b.html
316,Softikk,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f13eaae4b020b2f88a6cd6.html
317,AFIFA CARE PRIVATE LIMITED,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f13a73e4b020b2f88a6ac4.html
318,JoinRE,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f13963e4b020b2f88a6a51.html
319,Infinito Media India Private Limited,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f1392be4b020b2f88a6a3d.html
320,Niva Natural Homeo LLP,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f13788e4b020b2f88a692a.html
321,Doosra College,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f13788e4b020b2f88a6927.html
322,DISHA ENTERPRISE,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f1374ae4b020b2f88a690d.html
323,Need Worker India opc Private Limited,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f13572e4b020b2f88a683f.html
324,HD LABS PRIVATE LIMITED,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f179e7e4b020b2f88a8f2a.html
325,Bhumika Rathore,https://www.startupindia.gov.in/content/sih/en/profile.Startup.60636cade4b03f92cbd17ef4.html
326,Naukridhanda,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f1796be4b020b2f88a8eeb.html
327,Manjeet Bargoti,https://www.startupindia.gov.in/content/sih/en/profile.Startup.5b026d10e4b0a9285b5b096e.html
328,Callmyastro,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f177fbe4b020b2f88a8e51.html
329,MEENA KHAN,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f16a8fe4b020b2f88a875d.html
330,C4Cred,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f17551e4b020b2f88a8d52.html
331,J K C Enterprises,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f17550e4b020b2f88a8d4f.html
332,PROJECT X,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f17542e4b020b2f88a8d43.html
333,Shield Currency,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f17476e4b020b2f88a8cfb.html
334,Ecusbe India 3R Waste Private Limited,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f1730de4b020b2f88a8c3b.html
335,SUNSHINE ENTERPRISES,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f172b5e4b020b2f88a8c0c.html
336,YELLOW SPHERE PRIVATE LIMITED,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f17214e4b020b2f88a8bc9.html
337,POLLUXENERGYSOLUTIONS,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f17146e4b020b2f88a8b5d.html
338,Sephora Info Solutions Pvt Ltd,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f17142e4b020b2f88a8b59.html
339,Sarja Technologies Private Limited,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f17107e4b020b2f88a8b47.html
340,AFFLUX SYSTEMS PRIVATE LIMITED,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f17007e4b020b2f88a8aeb.html
341,eMoboMo Soft Pvt Ltd,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f16eefe4b020b2f88a8a4c.html
342,NV Media,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f16d53e4b020b2f88a892a.html
343,Sarglobal,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f16ca9e4b020b2f88a88b5.html
344,Bloomlync Technology Private Limited,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f16c64e4b020b2f88a8873.html
345,Ayush Entrprises,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f169c0e4b020b2f88a86ce.html
346,ETHOS,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f167f1e4b020b2f88a85ad.html
347,SpatioWorld Technologies Private Limited,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f16143e4b020b2f88a81be.html
348,Campus Share,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f16020e4b020b2f88a8120.html
349,Unive Media Private Limited,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f15f2ee4b020b2f88a8072.html
350,SYNCURE PHARMACEUTICALS,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f15f17e4b020b2f88a8060.html
351,Sudarshan Kumar Raut,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f1b368e4b020b2f88aa617.html
352,OffSpace Inc,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f1902ae4b020b2f88a9add.html
353,Fishtank,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f18f5be4b020b2f88a9a59.html
354,GREEN GLOBE INTERNATIONAL,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f1858ae4b020b2f88a95d4.html
355,A K Dianthus,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f18486e4b020b2f88a9547.html
356,RSN LEISURE TECHNO LLP,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f181ffe4b020b2f88a93df.html
357,WEDOCLEVERONE PRIVATE LIMITED,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f181eee4b020b2f88a93d4.html
358,Ravi Ranjan Chaubey,https://www.startupindia.gov.in/content/sih/en/profile.Startup.5d821b93e4b0fad8ed6d260d.html
359,CARTOS INDIA,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f1801ee4b020b2f88a928c.html
360,Golden Diamond Entertainments ,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f15dc1e4b020b2f88a7fd9.html
361,Ionage Technologies,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f15c5ae4b020b2f88a7ed9.html
362,Videoline Surveillance Services Private Limited,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f15b68e4b020b2f88a7e30.html
363,HIND WALE,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f155e1e4b020b2f88a7a4f.html
364,CHEMEX GLOBAL,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f15569e4b020b2f88a79de.html
365,Venkatesh Babu D,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f1538be4b020b2f88a78de.html
366,HOPEHELPINGINEVERYSTEP PRIVATE LIMITED,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f15294e4b020b2f88a7839.html
367,SHREE GAJAJNAND ENTERPRISES,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f15063e4b020b2f88a76e1.html
368,Trivarga Technologies Private Limited,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f15040e4b020b2f88a76c9.html
369,Stir Et Up,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f14f20e4b020b2f88a763f.html
370,Memories,https://www.startupindia.gov.in/content/sih/en/profile.Startup.5d9acf2de4b05eaf4e0d94a6.html
371,GEMOCRACY JEWELS OPC PRIVATE LIMITED,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f14b32e4b020b2f88a742b.html
372,Desi Earth Private Limited,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f148fee4b020b2f88a72fe.html
373,7 Eagles,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f145d8e4b020b2f88a715b.html
374,BESTWAY TRADING COMPANY,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f1447ce4b020b2f88a707c.html
375,SkillUp Education Services Pvt Ltd,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f141b4e4b020b2f88a6e99.html
376,MESTHIRII VKS PVT LTD,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f14106e4b020b2f88a6e33.html
377,Socio-Money ,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f14047e4b020b2f88a6dc7.html
378,KASIM SPORTS,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f1400ae4b020b2f88a6d8b.html
379,Softikk,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f13eaae4b020b2f88a6cd6.html
380,AFIFA CARE PRIVATE LIMITED,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f13a73e4b020b2f88a6ac4.html
381,JoinRE,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f13963e4b020b2f88a6a51.html
382,Infinito Media India Private Limited,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f1392be4b020b2f88a6a3d.html
383,Niva Natural Homeo LLP,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f13788e4b020b2f88a692a.html
384,Doosra College,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f13788e4b020b2f88a6927.html
385,DISHA ENTERPRISE,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f1374ae4b020b2f88a690d.html
386,Need Worker India opc Private Limited,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f13572e4b020b2f88a683f.html
387,Rishabh maheshwari,https://www.startupindia.gov.in/content/sih/en/profile.Startup.5b2115c1e4b04f0864e32e46.html
388,LEADS Venture'Lab,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f1345ee4b020b2f88a6795.html
389,SVSLER ENGINEERING RESEARCH AND TECHNOLOGIES PRIVATE LIMITED,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f13373e4b020b2f88a673c.html
390,Mehak Kapoor,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61c71716e4b041b4edd51ba1.html
391,ACEPACE PRIVATE LIMITED,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f12fdae4b020b2f88a6522.html
392,SHRI SHYAMJI ENTERPRISES,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f12e2de4b020b2f88a642b.html
393,InArtiGence.ai,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f12c41e4b020b2f88a62d0.html
394,GarageNations.com,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f12ae6e4b020b2f88a621d.html
395,Trends-Netra,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f12a58e4b020b2f88a61dc.html
396,Benaam,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f12922e4b020b2f88a6159.html
397,AKSHAR JV INFRA,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f128dde4b020b2f88a6133.html
398,	POWER HI-TECH SOLUTION PRIVATE LIMITED,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f126c4e4b020b2f88a604a.html
399,pocial,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f1267ee4b020b2f88a6020.html
400,School Zone Private Limited,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f12382e4b020b2f88a5e64.html
401,PROOWRX LLP,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f120c5e4b020b2f88a5cac.html
402,HEALTHCARE DIAGNOSTIC AND SURGICAL SUPPLIERS,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f12040e4b020b2f88a5c4e.html
403,KISHAN BANG,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f11f98e4b020b2f88a5bf0.html
404,IDEAWALE MARKETING PRIVATE LIMITED,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f11f60e4b020b2f88a5bd7.html
