,Name of Startup,Link
51,Sarja Technologies Private Limited,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f17107e4b020b2f88a8b47.html
52,AFFLUX SYSTEMS PRIVATE LIMITED,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f17007e4b020b2f88a8aeb.html
53,eMoboMo Soft Pvt Ltd,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f16eefe4b020b2f88a8a4c.html
54,Sudarshan Kumar Raut,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f1b368e4b020b2f88aa617.html
55,OffSpace Inc,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f1902ae4b020b2f88a9add.html
56,Fishtank,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f18f5be4b020b2f88a9a59.html
57,GREEN GLOBE INTERNATIONAL,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f1858ae4b020b2f88a95d4.html
58,A K Dianthus,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f18486e4b020b2f88a9547.html
59,RSN LEISURE TECHNO LLP,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f181ffe4b020b2f88a93df.html
60,WEDOCLEVERONE PRIVATE LIMITED,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f181eee4b020b2f88a93d4.html
61,Ravi Ranjan Chaubey,https://www.startupindia.gov.in/content/sih/en/profile.Startup.5d821b93e4b0fad8ed6d260d.html
62,CARTOS INDIA,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f1801ee4b020b2f88a928c.html
63,Shield Currency,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f17476e4b020b2f88a8cfb.html
64,Ecusbe India 3R Waste Private Limited,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f1730de4b020b2f88a8c3b.html
65,SUNSHINE ENTERPRISES,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f172b5e4b020b2f88a8c0c.html
66,YELLOW SPHERE PRIVATE LIMITED,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f17214e4b020b2f88a8bc9.html
67,POLLUXENERGYSOLUTIONS,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f17146e4b020b2f88a8b5d.html
68,Sephora Info Solutions Pvt Ltd,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f17142e4b020b2f88a8b59.html
69,Sarja Technologies Private Limited,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f17107e4b020b2f88a8b47.html
70,AFFLUX SYSTEMS PRIVATE LIMITED,https://www.startupindia.gov.in/content/sih/en/profile.Startup.61f17007e4b020b2f88a8aeb.html
